type        	size 	hullsize 	trueHullsize 	budget 	trueDiameter 	strDiameter 	diameterDiff 	relDiamDiff 	trueArea 	streamedArea 	areaDiff 	relAreaDiff 	errorModel1 	errorModel2 	errorModel3 	errorModel4
diameter 	35 	3 	35 	3 	1999.997 	1716.907 	283.090 	000.142 	2956792.306 	853160.625 	2103631.681 	000.711 	000.577 	000.333 	000.111 	000.037
area 	35 	3 	35 	3 	2000.000 	1976.130 	023.869 	000.012 	2992873.517 	571571.278 	2421302.239 	000.809 	000.577 	000.333 	000.111 	000.037
diameter 	35 	3 	35 	3 	1999.994 	752.470 	1247.524 	000.624 	2975354.034 	374591.807 	2600762.227 	000.874 	000.577 	000.333 	000.111 	000.037
area 	35 	3 	35 	3 	1999.995 	1810.731 	189.264 	000.095 	3036748.214 	881481.204 	2155267.010 	000.710 	000.577 	000.333 	000.111 	000.037
diameter 	35 	3 	35 	3 	1999.997 	1784.549 	215.448 	000.108 	2897205.422 	843758.656 	2053446.766 	000.709 	000.577 	000.333 	000.111 	000.037
area 	35 	3 	35 	3 	1999.997 	1999.997 	000.000 	000.000 	3017756.197 	91938.635 	2925817.563 	000.970 	000.577 	000.333 	000.111 	000.037
diameter 	42 	3 	42 	3 	2000.000 	1760.182 	239.818 	000.120 	2852822.446 	848434.176 	2004388.271 	000.703 	000.577 	000.333 	000.111 	000.037
area 	42 	3 	42 	3 	2000.000 	1951.885 	048.115 	000.024 	3038859.229 	975922.242 	2062936.986 	000.679 	000.577 	000.333 	000.111 	000.037
diameter 	42 	3 	42 	3 	1999.999 	1997.967 	002.031 	000.001 	3081357.984 	524696.449 	2556661.535 	000.830 	000.577 	000.333 	000.111 	000.037
area 	42 	3 	42 	3 	1999.999 	1999.926 	000.073 	000.000 	2893541.504 	84354.147 	2809187.357 	000.971 	000.577 	000.333 	000.111 	000.037
diameter 	42 	3 	42 	3 	1999.991 	1690.981 	309.011 	000.155 	3076448.431 	757369.081 	2319079.350 	000.754 	000.577 	000.333 	000.111 	000.037
area 	42 	3 	42 	3 	1999.999 	1713.101 	286.898 	000.143 	3016556.010 	171389.267 	2845166.743 	000.943 	000.577 	000.333 	000.111 	000.037
diameter 	50 	3 	50 	3 	1999.991 	1078.297 	921.694 	000.461 	2769428.336 	493667.615 	2275760.721 	000.822 	000.577 	000.333 	000.111 	000.037
area 	50 	3 	50 	3 	1999.998 	1646.428 	353.570 	000.177 	3109591.097 	567639.537 	2541951.560 	000.817 	000.577 	000.333 	000.111 	000.037
diameter 	50 	3 	50 	3 	1999.997 	1827.428 	172.569 	000.086 	2984604.885 	760257.125 	2224347.760 	000.745 	000.577 	000.333 	000.111 	000.037
area 	50 	3 	50 	3 	1999.999 	1980.357 	019.642 	000.010 	2885517.314 	847433.090 	2038084.224 	000.706 	000.577 	000.333 	000.111 	000.037
diameter 	50 	3 	50 	3 	2000.000 	1883.752 	116.248 	000.058 	2713285.023 	787442.183 	1925842.840 	000.710 	000.577 	000.333 	000.111 	000.037
area 	50 	3 	50 	3 	2000.000 	1795.427 	204.573 	000.102 	2825705.959 	841074.341 	1984631.617 	000.702 	000.577 	000.333 	000.111 	000.037
diameter 	60 	3 	60 	3 	2000.000 	1998.852 	001.148 	000.001 	2801583.493 	820187.495 	1981395.997 	000.707 	000.577 	000.333 	000.111 	000.037
area 	60 	3 	60 	3 	1999.998 	1940.844 	059.154 	000.030 	3017661.275 	709109.523 	2308551.753 	000.765 	000.577 	000.333 	000.111 	000.037
diameter 	60 	4 	60 	4 	2000.000 	1987.906 	012.094 	000.006 	3075747.583 	401869.150 	2673878.434 	000.869 	000.500 	000.250 	000.063 	000.016
area 	60 	4 	60 	4 	2000.000 	1996.035 	003.965 	000.002 	3053289.681 	659574.965 	2393714.716 	000.784 	000.500 	000.250 	000.063 	000.016
diameter 	60 	3 	60 	3 	2000.000 	1996.748 	003.252 	000.002 	3088340.960 	436229.982 	2652110.978 	000.859 	000.577 	000.333 	000.111 	000.037
area 	60 	3 	60 	3 	2000.000 	1836.208 	163.792 	000.082 	2745380.777 	322177.753 	2423203.023 	000.883 	000.577 	000.333 	000.111 	000.037
diameter 	60 	4 	60 	4 	1999.997 	1948.790 	051.207 	000.026 	3039109.767 	1038044.581 	2001065.186 	000.658 	000.500 	000.250 	000.063 	000.016
area 	60 	4 	60 	4 	2000.000 	1999.858 	000.142 	000.000 	2975106.417 	794455.331 	2180651.086 	000.733 	000.500 	000.250 	000.063 	000.016
diameter 	60 	3 	60 	3 	2000.000 	1891.510 	108.490 	000.054 	3022933.539 	679339.721 	2343593.819 	000.775 	000.577 	000.333 	000.111 	000.037
area 	60 	3 	60 	3 	2000.000 	1917.660 	082.340 	000.041 	2973869.288 	946436.824 	2027432.464 	000.682 	000.577 	000.333 	000.111 	000.037
diameter 	60 	4 	60 	4 	1999.999 	1953.008 	046.990 	000.023 	3059569.155 	884820.795 	2174748.360 	000.711 	000.500 	000.250 	000.063 	000.016
area 	60 	4 	60 	4 	1999.999 	1992.011 	007.989 	000.004 	2901645.486 	696025.072 	2205620.413 	000.760 	000.500 	000.250 	000.063 	000.016
diameter 	72 	3 	72 	3 	2000.000 	1825.647 	174.353 	000.087 	3091921.058 	841720.098 	2250200.960 	000.728 	000.577 	000.333 	000.111 	000.037
area 	72 	3 	72 	3 	2000.000 	1995.012 	004.988 	000.002 	3050691.042 	541519.258 	2509171.784 	000.822 	000.577 	000.333 	000.111 	000.037
diameter 	72 	4 	72 	4 	2000.000 	1993.415 	006.585 	000.003 	3090479.067 	1240613.441 	1849865.626 	000.599 	000.500 	000.250 	000.063 	000.016
area 	72 	4 	72 	4 	2000.000 	1973.116 	026.884 	000.013 	3085225.647 	974475.089 	2110750.557 	000.684 	000.500 	000.250 	000.063 	000.016
