k 	 Area 	 Distance
3 	 0.00792 	0.00675 
103 	 0.00012 	0.00037 
203 	 0.00005 	0.00019 
303 	 0.00004 	0.00014 
403 	 0.00003 	0.00010 
503 	 0.00002 	0.00008 
603 	 0.00002 	0.00007 
703 	 0.00001 	0.00006 
803 	 0.00001 	0.00005 
903 	 0.00001 	0.00005 
1003 	 0.00001 	0.00004 
1103 	 0.00001 	0.00004 
1203 	 0.00001 	0.00003 
1303 	 0.00001 	0.00003 
1403 	 0.00001 	0.00003 
1503 	 0.00000 	0.00003 
1603 	 0.00000 	0.00003 
1703 	 0.00000 	0.00002 
1803 	 0.00000 	0.00002 
